Area,ID,Constructed,Location,PlayType,Maintain,Site,Ward,long,lat
Alfredton,00037171,,Alfredton Pre School Play Equipment6-8 Balyarta StreetAlfredton,B-Child Minding Playground,Tenant,Alfredton Pre School,North,143.80650095599,-37.5523078953505
Ballarat North,00037188,,Ballarat Child Minding Co Op Play Equipment1007 Armstrong StBallarat North,B-Child Minding Playground,Tenant,Ballarat Child Minding Co-op,North,143.859835911951,-37.5405642610022
Ballarat Central,00037172,,Fidelity Kinder Play Equipment212 Ripon St SthRedan,B-Child Minding Playground,Tenant,Ballarat Fidelity Club Kindergarten,Central,143.840032031187,-37.5656264482907
Black Hill,00037173,,Black Hill Pre School Play Equipment602 Sherrard StBlack Hill,B-Child Minding Playground,Tenant,Black Hill Pre School,Central,143.869568704163,-37.5484186325879
Brown Hill,00037174,,Brown Hill Pre School Play Equipment1 Reid CrtBrown Hill,B-Child Minding Playground,Tenant,Brown Hill Pre School,Central,143.894983118216,-37.5516660073157
Buninyong,00037175,,Buninyong Pre School Play Equipment206-208 Learmonth StBuninyong,B-Child Minding Playground,Tenant,Buninyong Pre School,South,143.887818964864,-37.6505195149275
Delacombe,00037176,,Delacombe Pre School Play Equipment105 Whitelaw AveDelacombe,B-Child Minding Playground,Tenant,Delacombe Childrens Centre,South,143.818589420219,-37.5802970528203
Ballarat Central,00037177,,Girrabanya Play EquipmentCnr Steinfeld St & Peel St SthBallarat Central,B-Child Minding Playground,Tenant,Girrabanya Childrens Centre,Central,143.862857295109,-37.5653533197365
Redan,00037178,,Iris Ramsay Pre School Play Equipment105 Lonsdale StRedan,B-Child Minding Playground,Tenant,Iris Ramsay Pre School,South,143.834515643254,-37.5754277967668
Wendouree,00037179,,Linda Brown Pre School Play EquipmentCnrCollege & Head StWendouree,B-Child Minding Playground,Tenant,Linda Brown Pre School,North,143.836780718153,-37.5374541682817
Ballarat North,00037180,,Midlands Pre School Play Equipment701 Landsborough StBallarat North,B-Child Minding Playground,Tenant,Midlands Childrens Centre,North,143.86008836554,-37.5397027569662
Mount Clear,00037181,2000-06-01,Play EquipmentMt Clear Pre School 2 Dallas AveMt Clear,B-Child Minding Playground,Tenant,Mount Clear Childrens Centre,South,143.868503575686,-37.6073537770841
Mount Helen,00037182,,Mt Helen Pre School Play Equipment16 Boak AveMt Helen,B-Child Minding Playground,Tenant,Mount Helen Pre School,South,143.877786187801,-37.6260072579141
Mount Pleasant,00037183,,Mt Pleasant Pre School Play Equipment826 Laurie StMt Pleasant,B-Child Minding Playground,Tenant,Mount Pleasant Pre School,Central,143.85382928334,-37.5780386933105
Ballarat Central,00037189,,Occasional Child Care Play Equipment112 Armstrong St NthBallarat Central,B-Child Minding Playground,Tenant,Occasional Child Care,Central,143.857391050394,-37.5582087465589
Wendouree,00037184,,Rowan View Pre School Play Equipment402 Forest StWendouree,B-Child Minding Playground,Tenant,Rowan View Childrens Centre,North,143.835399607847,-37.5219347161984
Sebastopol,00037190,,Sebastopol Child Day Care Play Equipment254 Vickers StSebastopol,B-Child Minding Playground,Tenant,Sebastopol Child Day Care,South,143.838612123903,-37.5923835335244
Sebastopol,00037185,,Sebsatopol South Pre School Play Equipment179-181 Spencer StSebastopol,B-Child Minding Playground,Tenant,Sebastopol South Pre School,South,143.839145280423,-37.6025095012669
Sebastopol,00037186,,Sebastopol West Pre School Play Equipment180 Grant StSebastopol,B-Child Minding Playground,Tenant,Sebastopol West Pre School,South,143.830853838691,-37.6021843225619
Wendouree,00037191,,Wendouree Childrens Centre Play EquipmentCNR Gillies St Nth & Hastings StreetWendouree,B-Child Minding Playground,Tenant,Wendouree Childrens Centre,North,143.824191391171,-37.5315484644636
Mitchell Park,00036450,2007-01-01,Playground (Polocross)Wiggins Road ReserveMitchell Park,PG-Playground,Ballarat City Council,Ballarat Airport,North,143.781899274192,-37.5157890784686
Sebastopol,00036615,2001-01-01,PlaygroundTeague CrtSebastopol,PG-Playground,Ballarat City Council,Teague Court Park,South,143.832437351254,-37.6016022344087
Canadian,00036632,1992-01-01,Playground (Lal Lal & Joseph Sts)301-307 Lal Lal StreetCanadian,PG-Playground,Ballarat City Council,Alex Mills Park,South,143.876948570179,-37.5791842875024
Alfredton,00036645,2010-01-01,Playground89 Cuthberts RdAlfredton,PG-Playground,Ballarat City Council,Alfredton Recreation Reserve,North,143.800043727318,-37.554570838954
Alfredton,00036646,1998-01-01,PlaygroundAlmurta StAlfredton,PG-Playground,Ballarat City Council,Almurta Street Reserve,North,143.806456612527,-37.5520069086936
Alfredton,00138972,2011-12-02,PlaygroundThe Chase Central ParkAlfredton,PG-Playground,Ballarat City Council,The Chase Central Park,South,143.788291644753,-37.5557573708825
Golden Point,00036647,2000-01-01,Playground (Little Dodds St)Little Dodds StGolden Point,PG-Playground,Ballarat City Council,Apex Park,South,143.871419940168,-37.5706709723455
Ascot,00036649,2003-01-01,PlaygroundAscot Hall RdAscot,PG-Playground,Ballarat City Council,Ascot Hall Reserve,North,143.798908266792,-37.3963477485466
Sebastopol,00036668,1998-01-01,Playground (Jones Dr)Jones DrSebastopol,PG-Playground,Ballarat City Council,Bedggood Court Park,South,143.834115575204,-37.6022566362625
Wendouree,00036675,1985-01-01,Playground (Redford Dr)Redford DrWendouree,PG-Playground,Ballarat City Council,Bogart Drive Reserve,North,143.837644637181,-37.5317454544575
Brown Hill,00220796,2013-06-01,Playground373 Humffray St NthBrown Hill,PG-Playground,Ballarat City Council,Brown Hill Reserve,Central,143.89829265054,-37.5524412960674
Ballarat North,00036689,1985-01-01,Playground (Rumler Crt)Rumler CrtBallarat North,PG-Playground,Ballarat City Council,Bullock Gully,North,143.871378345384,-37.5394071924761
Buninyong,00036496,1995-01-01,PlaygroundScott StBuninyong,PG-Playground,Ballarat City Council,Buninyong Botanic Gardens,South,143.888024843091,-37.6528927936055
Buninyong,00236129,2014-06-01,Buninyong ParkourIngles StreetBuninyong,PG-Playground,Ballarat City Council,Buninyong Recreation Park,South,143.887279864011,-37.649393252768
Buninyong,00139077,2011-12-01,PlaygroundBuninyong Community Facility401-409 Cornish StreetBuninyong,PG-Playground,Ballarat City Council,Buninyong Recreation Reserve,South,143.8909633108,-37.6499412720607
Mitchell Park,00036698,1993-01-01,PlaygroundCaldwell StMitchell Park,PG-Playground,Ballarat City Council,Caldwell Street Park,North,143.802158930277,-37.514274271811
Canadian,00036699,1998-01-01,Playground (Sawyer Ave)Cnr Sawyer Ave & Downing DrCanadian,PG-Playground,Ballarat City Council,Canadian Creek Reserve,South,143.868957005784,-37.5853080262911
Mount Clear,00036700,1998-01-01,Playground (Hermitage Ave)Cnr Hermitage & Hocking AvesMt Clear,PG-Playground,Ballarat City Council,Canadian Creek Reserve,South,143.870053342083,-37.5928821652922
Mount Clear,00036701,1998-01-01,Playground (Bradby Ave)Bradby AveMt Clear,PG-Playground,Ballarat City Council,Canadian Creek Reserve,South,143.870293138638,-37.6050047793773
Canadian,00036702,2004-01-01,Playground (Canadian Lakes Boulevard)Canadian Lakes BoulevardCanadian,PG-Playground,Ballarat City Council,Canadian Gully Reserve,South,143.8675602635,-37.5882579214372
