SAFETY SCORE  (Lower is better!):  ,long,lat,Graffiti,CCTV Cameras,Education and Childcare Centres,location,playtype
33,143.806500956,-37.5523078954,High,Low,High,Alfredton Pre School Play Equipment6-8 Balyarta StreetAlfredton,B-Child Minding Playground
24,143.859835912,-37.540564261,Medium,Low,High,Ballarat Child Minding Co Op Play Equipment1007 Armstrong StBallarat North,B-Child Minding Playground
33,143.8400320312,-37.5656264483,High,Low,High,Fidelity Kinder Play Equipment212 Ripon St SthRedan,B-Child Minding Playground
33,143.8695687042,-37.5484186326,High,Low,High,Black Hill Pre School Play Equipment602 Sherrard StBlack Hill,B-Child Minding Playground
33,143.8949831182,-37.5516660073,High,Low,High,Brown Hill Pre School Play Equipment1 Reid CrtBrown Hill,B-Child Minding Playground
27,143.8878189649,-37.6505195149,Medium,Low,Medium,Buninyong Pre School Play Equipment206-208 Learmonth StBuninyong,B-Child Minding Playground
15,143.8185894202,-37.5802970528,Low,Low,High,Delacombe Pre School Play Equipment105 Whitelaw AveDelacombe,B-Child Minding Playground
33,143.8628572951,-37.5653533197,High,Low,High,Girrabanya Play EquipmentCnr Steinfeld St & Peel St SthBallarat Central,B-Child Minding Playground
24,143.8345156433,-37.5754277968,Medium,Low,High,Iris Ramsay Pre School Play Equipment105 Lonsdale StRedan,B-Child Minding Playground
24,143.8367807182,-37.5374541683,Medium,Low,High,Linda Brown Pre School Play EquipmentCnrCollege & Head StWendouree,B-Child Minding Playground
24,143.8600883655,-37.539702757,Medium,Low,High,Midlands Pre School Play Equipment701 Landsborough StBallarat North,B-Child Minding Playground
15,143.8685035757,-37.6073537771,Low,Low,High,Play EquipmentMt Clear Pre School 2 Dallas AveMt Clear,B-Child Minding Playground
18,143.8777861878,-37.6260072579,Low,Low,Medium,Mt Helen Pre School Play Equipment16 Boak AveMt Helen,B-Child Minding Playground
36,143.8538292833,-37.5780386933,High,Low,Medium,Mt Pleasant Pre School Play Equipment826 Laurie StMt Pleasant,B-Child Minding Playground
21,143.8573910504,-37.5582087466,High,High,High,Occasional Child Care Play Equipment112 Armstrong St NthBallarat Central,B-Child Minding Playground
15,143.8353996078,-37.5219347162,Low,Low,High,Rowan View Pre School Play Equipment402 Forest StWendouree,B-Child Minding Playground
24,143.8386121239,-37.5923835335,Medium,Low,High,Sebastopol Child Day Care Play Equipment254 Vickers StSebastopol,B-Child Minding Playground
24,143.8391452804,-37.6025095013,Medium,Low,High,Sebsatopol South Pre School Play Equipment179-181 Spencer StSebastopol,B-Child Minding Playground
15,143.8308538387,-37.6021843226,Low,Low,High,Sebastopol West Pre School Play Equipment180 Grant StSebastopol,B-Child Minding Playground
33,143.8241913912,-37.5315484645,High,Low,High,Wendouree Childrens Centre Play EquipmentCNR Gillies St Nth & Hastings StreetWendouree,B-Child Minding Playground
9,143.7818992742,-37.5157890785,High,Low,Medium,Playground (Polocross)Wiggins Road ReserveMitchell Park,PG-Playground
24,143.8324373513,-37.6016022344,Medium,Low,High,PlaygroundTeague CrtSebastopol,PG-Playground
18,143.8769485702,-37.5791842875,Low,Low,Medium,Playground (Lal Lal & Joseph Sts)301-307 Lal Lal StreetCanadian,PG-Playground
33,143.8000437273,-37.554570839,High,Low,High,Playground89 Cuthberts RdAlfredton,PG-Playground
33,143.8064566125,-37.5520069087,High,Low,High,PlaygroundAlmurta StAlfredton,PG-Playground
27,143.7882916448,-37.5557573709,Medium,Low,Medium,PlaygroundThe Chase Central ParkAlfredton,PG-Playground
33,143.8714199402,-37.5706709723,High,Low,High,Playground (Little Dodds St)Little Dodds StGolden Point,PG-Playground
9,143.7989082668,-37.3963477485,High,Low,Medium,PlaygroundAscot Hall RdAscot,PG-Playground
24,143.8341155752,-37.6022566363,Medium,Low,High,Playground (Jones Dr)Jones DrSebastopol,PG-Playground
