name,ID,address,contact_ph1,contact_ph2,email,url,lat,long
Goodstart Early Learning Centre - Alfredton,2042065,"91-93 Cutherberts Road, Alfredton, 3350",0353342929,1800222543,ala@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.553814619969,143.797761730033
Goodstart Early Learning Centre - Creswick Road,2006341,"609-611 Creswick Road, Wendouree, 3350",0353395111,1800222543,cwr@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5434280399645,143.849613255037
Goodstart Early Learning Centre - Delacombe,2029969,"Cnr Glenelg Highway and Sutton Street, Delacombe, 3350",0353361296,1800222543,del@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5869929549667,143.825315915035
Goodstart Early Learning Centre - Mount Clear,2011635,"1108-1110 Geelong Road, Mount Clear, 3350",0353302677,1800222543,mcl@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5971927649629,143.867164010038
Goodstart Early Learning Centre - Mount Helen,2044598,"1848 Geelong Road, Mount Helen, 3350",0353302499,1800222543,mhn@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.6260226649618,143.878319820038
Goodstart Early Learning Centre - Wendouree,2015621,"1122 Howitt Street, Wendouree, 3355",0353391311,1800222543,wen@goodstart.org.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5397829249661,143.832215385035
Alfredton Child Care Centre,2009165,"83 Elaine Avenue, Alfredton, 3350",0353342427,,alfredtonccc@bigpond.com,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5462640749692,143.794677970033
Ballarat Child Care Co-operative,2001157,"1007 Armstrong Street North, Ballarat North, 3350",0353331601,,bccc@ncable.net.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5406602599636,143.859820450037
Ballarat Little Learners Early Education Centre,2033004,"257 Victoria Street, Ballarat East, 3350",0353314912,,info@ballaratlittlelearners.com.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.558122569961,143.886265160039
Ballarat North Early Learning Centre,2019778,"1013 Ligar Street, Ballarat North, 3350",0353323533,,ballarat@neighbourhoodelc.com.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5405835749632,143.863667455037
Centre for Early Education,2046753,"201 Forest Street, Wendouree, 3355",0353380896,,ceed@ceed.bgs.vic.edu.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5366157099662,143.830378875035
Cherish Early Learning Centre,2046013,"12 Vale Street, Sebastopol, 3356",0353364430,,jaime@cherishelc.com.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.6041446649655,143.838800160036
FedUni Children's Centre at Mt Helen,2011362,"University Drive, Mount Helen, 3350",0353279456,,childrenscentres@federation.edu.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.6247853899602,143.891350000039
FedUni Children's Centre at SMB,2057742,"Lydiard Street South, Ballarat Central, 3350",0353278183,,childrenscentres@federation.edu.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5657531749638,143.857124310037
Girrabanya Children's Centre,2008808,Cnr Peel and Steinfeld Streets,0353205150,,gcc@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5653052849633,143.862877845037
Lake Gardens Children Centre,2039292,"2 Stirling Drive, Lake Gardens, 3355",0353376529,,lakegardenscc@bigpond.com,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5443020699671,143.820710320035
Sebastopol Child Care Centre,2002930,"254 Vickers Street, Sebastopol, 3356",0353359509,,sebasccc@ncable.net.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5915724999656,143.838545075036
Wendouree Children's Services,2024707,"Cnr Gillies and Hastings Streets, Wendouree, 3353",0353208200,,wcs@ballarat.vic.gov.au,http://www.ballarat.vic.gov.au/media/2977461/early_years_guide_finalweb.pdf,-37.5317744049668,143.824038390035
