Asset,Defect,Date,Offensive,Site,Size,Long,Lat
36362,B-Graffiti,2013-09-25,No,Albert Street Toilets,No,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-09-25,No,Albert Street Toilets,Major,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-09-25,No,Albert Street Toilets,Minor,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-09-25,Yes,Albert Street Toilets,No,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-09-25,Yes,Albert Street Toilets,Major,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-09-25,Yes,Albert Street Toilets,Minor,143.8591204586,-37.5626875881
36362,B-Graffiti,2013-11-05,No,Albert Street Toilets,No,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-05,No,Albert Street Toilets,Major,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-05,No,Albert Street Toilets,Minor,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-05,Yes,Albert Street Toilets,No,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-05,Yes,Albert Street Toilets,Major,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-05,Yes,Albert Street Toilets,Minor,143.8590324092,-37.562622863
36362,B-Graffiti,2013-11-27,No,Albert Street Toilets,No,143.8590898268,-37.5628485402
36362,B-Graffiti,2013-11-27,No,Albert Street Toilets,Major,143.8590898268,-37.5628485402
36362,B-Graffiti,2013-11-27,No,Albert Street Toilets,Minor,143.8590898268,-37.5628485402
36362,B-Graffiti,2013-11-27,Yes,Albert Street Toilets,No,143.8590898268,-37.5628485402
36362,B-Graffiti,2013-11-27,Yes,Albert Street Toilets,Major,143.8590898268,-37.5628485402
36362,B-Graffiti,2013-11-27,Yes,Albert Street Toilets,Minor,143.8590898268,-37.5628485402
36362,B-Graffiti,2014-01-07,No,Albert Street Toilets,No,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-07,No,Albert Street Toilets,Major,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-07,No,Albert Street Toilets,Minor,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-07,Yes,Albert Street Toilets,No,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-07,Yes,Albert Street Toilets,Major,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-07,Yes,Albert Street Toilets,Minor,143.858989491,-37.5626845449
36362,B-Graffiti,2014-01-14,No,Albert Street Toilets,No,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-14,No,Albert Street Toilets,Major,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-14,No,Albert Street Toilets,Minor,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-14,Yes,Albert Street Toilets,No,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-14,Yes,Albert Street Toilets,Major,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-14,Yes,Albert Street Toilets,Minor,143.859028824,-37.5626001529
36362,B-Graffiti,2014-01-15,No,Albert Street Toilets,No,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-15,No,Albert Street Toilets,Major,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-15,No,Albert Street Toilets,Minor,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-15,Yes,Albert Street Toilets,No,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-15,Yes,Albert Street Toilets,Major,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-15,Yes,Albert Street Toilets,Minor,143.8592702767,-37.5630976366
36362,B-Graffiti,2014-01-28,No,Albert Street Toilets,No,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-01-28,No,Albert Street Toilets,Major,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-01-28,No,Albert Street Toilets,Minor,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-01-28,Yes,Albert Street Toilets,No,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-01-28,Yes,Albert Street Toilets,Major,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-01-28,Yes,Albert Street Toilets,Minor,143.8585299169,-37.5630513332
36362,B-Graffiti,2014-02-18,No,Albert Street Toilets,No,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-18,No,Albert Street Toilets,Major,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-18,No,Albert Street Toilets,Minor,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-18,Yes,Albert Street Toilets,No,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-18,Yes,Albert Street Toilets,Major,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-18,Yes,Albert Street Toilets,Minor,143.8590857967,-37.562695817
36362,B-Graffiti,2014-02-25,No,Albert Street Toilets,No,143.8592265815,-37.5623725261
36362,B-Graffiti,2014-02-25,No,Albert Street Toilets,Major,143.8592265815,-37.5623725261
36362,B-Graffiti,2014-02-25,No,Albert Street Toilets,Minor,143.8592265815,-37.5623725261
36362,B-Graffiti,2014-02-25,Yes,Albert Street Toilets,No,143.8592265815,-37.5623725261
36362,B-Graffiti,2014-02-25,Yes,Albert Street Toilets,Major,143.8592265815,-37.5623725261
36362,B-Graffiti,2014-02-25,Yes,Albert Street Toilets,Minor,143.8592265815,-37.5623725261
36364,B-Graffiti,2014-02-11,No,Armstrong Street Toilets,No,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-02-11,No,Armstrong Street Toilets,Major,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-02-11,No,Armstrong Street Toilets,Minor,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-02-11,Yes,Armstrong Street Toilets,No,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-02-11,Yes,Armstrong Street Toilets,Major,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-02-11,Yes,Armstrong Street Toilets,Minor,143.8567243331,-37.5601773264
36364,B-Graffiti,2014-01-15,No,Armstrong Street Toilets,No,143.856647007,-37.560461233
36364,B-Graffiti,2014-01-15,No,Armstrong Street Toilets,Major,143.856647007,-37.560461233
36364,B-Graffiti,2014-01-15,No,Armstrong Street Toilets,Minor,143.856647007,-37.560461233
36364,B-Graffiti,2014-01-15,Yes,Armstrong Street Toilets,No,143.856647007,-37.560461233
36364,B-Graffiti,2014-01-15,Yes,Armstrong Street Toilets,Major,143.856647007,-37.560461233
36364,B-Graffiti,2014-01-15,Yes,Armstrong Street Toilets,Minor,143.856647007,-37.560461233
36364,B-Graffiti,2013-11-27,No,Armstrong Street Toilets,No,143.8568543706,-37.5601531824
36364,B-Graffiti,2013-11-27,No,Armstrong Street Toilets,Major,143.8568543706,-37.5601531824
36364,B-Graffiti,2013-11-27,No,Armstrong Street Toilets,Minor,143.8568543706,-37.5601531824
36364,B-Graffiti,2013-11-27,Yes,Armstrong Street Toilets,No,143.8568543706,-37.5601531824
36364,B-Graffiti,2013-11-27,Yes,Armstrong Street Toilets,Major,143.8568543706,-37.5601531824
36364,B-Graffiti,2013-11-27,Yes,Armstrong Street Toilets,Minor,143.8568543706,-37.5601531824
36364,B-Graffiti,2014-12-17,No,Armstrong Street Toilets,No,143.856661504,-37.5601178456
36364,B-Graffiti,2014-12-17,No,Armstrong Street Toilets,Major,143.856661504,-37.5601178456
36364,B-Graffiti,2014-12-17,No,Armstrong Street Toilets,Minor,143.856661504,-37.5601178456
36364,B-Graffiti,2014-12-17,Yes,Armstrong Street Toilets,No,143.856661504,-37.5601178456
36364,B-Graffiti,2014-12-17,Yes,Armstrong Street Toilets,Major,143.856661504,-37.5601178456
36364,B-Graffiti,2014-12-17,Yes,Armstrong Street Toilets,Minor,143.856661504,-37.5601178456
37172,B-Graffiti,2015-01-13,No,Ballarat Fidelity Club Kindergarten,No,143.8405081544,-37.5649178266
37172,B-Graffiti,2015-01-13,No,Ballarat Fidelity Club Kindergarten,Major,143.8405081544,-37.5649178266
37172,B-Graffiti,2015-01-13,No,Ballarat Fidelity Club Kindergarten,Minor,143.8405081544,-37.5649178266
37172,B-Graffiti,2015-01-13,Yes,Ballarat Fidelity Club Kindergarten,No,143.8405081544,-37.5649178266
37172,B-Graffiti,2015-01-13,Yes,Ballarat Fidelity Club Kindergarten,Major,143.8405081544,-37.5649178266
37172,B-Graffiti,2015-01-13,Yes,Ballarat Fidelity Club Kindergarten,Minor,143.8405081544,-37.5649178266
36463,B-Graffiti,2013-11-19,No,Art Gallery of Ballarat,No,143.8585439229,-37.5603360794
36463,B-Graffiti,2013-11-19,No,Art Gallery of Ballarat,Major,143.8585439229,-37.5603360794
36463,B-Graffiti,2013-11-19,No,Art Gallery of Ballarat,Minor,143.8585439229,-37.5603360794
36463,B-Graffiti,2013-11-19,Yes,Art Gallery of Ballarat,No,143.8585439229,-37.5603360794
36463,B-Graffiti,2013-11-19,Yes,Art Gallery of Ballarat,Major,143.8585439229,-37.5603360794
36463,B-Graffiti,2013-11-19,Yes,Art Gallery of Ballarat,Minor,143.8585439229,-37.5603360794
36464,B-Graffiti,2013-08-28,No,Ballarat Library,No,143.8557047193,-37.5576673094
36464,B-Graffiti,2013-08-28,No,Ballarat Library,Major,143.8557047193,-37.5576673094
36464,B-Graffiti,2013-08-28,No,Ballarat Library,Minor,143.8557047193,-37.5576673094
36464,B-Graffiti,2013-08-28,Yes,Ballarat Library,No,143.8557047193,-37.5576673094
36464,B-Graffiti,2013-08-28,Yes,Ballarat Library,Major,143.8557047193,-37.5576673094
36464,B-Graffiti,2013-08-28,Yes,Ballarat Library,Minor,143.8557047193,-37.5576673094
228436,B-Graffiti,2014-10-14,No,Ballarat Library,No,143.8564278519,-37.5586535918
